Ship to ID,Sold to ID,R12 Segment (Ship to ID),R12 Segment (Sold to ID),R13-24 Segment (Sold to ID),R25 - 36 Segment (Sold to ID),Sales Rep Name,Fleet Size,R12 Wallet Size (Aftermarket),Ship to Name,Sold to Name,Address,City,Zip Code,County State,HYG Preferred Brand,New Equip R36 Revenue,Used Equip R36 Revenue,Parts Revenue R12,Service Revenue R12 (Includes GM),Parts & Service Revenue R12,Rental Revenue R12,Allied Equipment Revenue R12,Revenue Rolling 12 Months - Aftermarket,Revenue Rolling 13 - 24 Months - Aftermarket,Revenue Rolling 25 - 36 Months - Aftermarket,Revevnue Rolling 25 -36 Months - AftermarketR12 Aftermarket Revenue Change,Dealer Branch,Industry Segment,Industry Description
AD0007937,BP0004468,P,P,P,P,1-Territory,,,WAYNE TOWNSHIP FIRE DEPT,WAYNE TOWNSHIP,6252 W OHIO STREET,INDIANAPOLIS,46214,Marion IN,,$0 ,"$26,522 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,
AD0007372,BP0004474,P,P,D3,D3,7-Territory,,,SAFESPILL SYSTEMS,SAFESPILL SYSTEMS,5325 SEERLEY ROAD,INDIANAPOLIS,46241,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$722 ,$722 ,($722),,,
AD0007375,BP0004475,P,P,P,D3,1-Territory,,,INDY ELEVEN,INDY ELEVEN,1001 W NEW YORK STREET,INDIANAPOLIS,46202,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$517 ,$0 ,,,
AD0007388,BP0004482,P,P,P,D3,7-Territory,,,GEORGES FUN FOODS,GEORGES FUN FOODS LLC,7300 TROY AVE,INDIANAPOLIS,46239,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$829 ,$0 ,,,
AD0007431,BP0004490,P,P,D3,D3,7-Territory,,,TRACTOR SUPPLY,QUALITY EQUIPMENT MANAGEMENT,8815 S. ATLANTIS DR.,INDIANAPOLIS,46239,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$980 ,$0 ,($980),,,
AD0007423,BP0004500,P,P,C3,P,7-Territory,,,ALL STAR AUTO LIGHTS INC,ALL STAR AUTO LIGHTS INC,3250 NORTH POST ROAD,INDIANAPOLIS,46226,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$11,841 ",$0 ,"($11,841)",,,
AD0007426,BP0004501,P,P,P,D3,7-Territory,,,ADVANCED SYSTEMS INC,ADVANCED SYSTEMS INC,7257 US 31S,INDIANAPOLIS,46227,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,($375),$696 ,$375 ,,,
AD0007441,BP0004505,P,P,D3,P,1-Territory,,,MARION COUNTY AGRICULTURAL FAIR ASS,MARION COUNTY AGRICULTURAL FAIR ASS,PO BOX 39225,INDIANAPOLIS,46239,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,($46),$0 ,($46),$0 ,$0 ,($46),,,
AD0007442,BP0004505,P,P,D3,P,1-Territory,,,MARION COUNTY AGRICULTURAL FAIR ASS,MARION COUNTY AGRICULTURAL FAIR ASS,7300 E TROY AVENUE,INDIANAPOLIS,46239,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$696 ,$0 ,($696),,,
AD0007444,BP0004506,P,P,D3,P,7-Territory,,,PACK MACHINES,PACK MACHINES,6461 SAGUARO COURT,INDIANAPOLIS,46268,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$615 ,$0 ,($615),,,
