Account Name,City,Address,County State,Zip Code,R12 Segment,R36 New Unit Revenue,R12 Service Revenue,R12 Rental Revenue,R12 Aftermarket Revenue,Min of Latitude,Min of Longitude
HIGHPOINT CONSTRUCTION & DESIGN,LAKEWOOD,17 PRIMROSE DR,Ocean NJ,08701,P,$0,$0,$0,$0,40.09291249,-74.24488939
HIGHWAY SAFETY SERVICES,LAFAYETTE,4121 S 500E,Tippecanoe IN,47905,D3,$0,$0,$0,$143,,
HILEX POLY,NORTH VERNON,1001 N 2ND ST,Jennings IN,47265,A3,$0,$60965,$134895,$403756,39.01592700,-85.63203100
HILEX POLY,NORTH VERNON,819 BUCKEYE STREET,Jennings IN,47265,A3,$0,$0,$0,$403756,39.00560802,-85.61937467
HILEX POLY,NORTH VERNON,999 NORTH MADISON AVE,Jennings IN,47265,A3,$0,$0,$49161,$403756,39.01568100,-85.63153900
HILEX POLY RECYCLING,NORTH VERNON,1001 N 2ND ST,Jennings IN,47265,A3,$0,$97331,$215676,$403756,39.01592700,-85.63203100
HILL COMPANY,INDIANAPOLIS,6302 W THOMPSON RD,Marion IN,46221,P,$0,$0,$0,$0,39.69287360,-86.26971387
HITACHI ASTEMO GREENFIELD INDIANA,ANDERSON,2701 ENTERPRISE DRN,Madison IN,46013,D3,$0,$0,$0,$9903,,
HITACHI ASTEMO GREENFIELD INDIANA,GREENFIELD,400 WEST NEW RD,Hancock IN,46140,D3,$0,$3858,$6045,$9903,39.81400350,-85.77344700
HMC ATTACHMENT EQUIPMENT LLC,LAKE HOPATCONG,8 JESSICA COURT,Morris NJ,07849,P,$0,$0,$0,$0,40.98526000,-74.58990900
HOG SLAT INC,NEWTON GROVE,PO BOX 300,Sampson NC,28366,P,$0,$0,$0,$0,,
HOG SLAT INC,UNIVERSAL,18506 S RANGELINE RD,Vermillion IN,47842,P,$0,$0,$0,$0,39.61458100,-87.46215000
"HOLCIM SOLUTIONS & PRODUCTS US, LLC",NASHVILLE,26 CENTURY BOULEVARD,Davidson TN,37214,C3,$0,$0,$0,$49492,36.15010025,-86.68545831
HOME CITY ICE,ATTICA,200 MARKET ST,Fountain IN,47918,P,$0,$0,$0,$0,40.29476100,-87.25295400
HOME CITY ICE,INDIANAPOLIS,3602 W WASHINGTON,Marion IN,46241,D3,$0,$0,$0,$1977,39.76194200,-86.22185500
HOME CITY ICE,INDIANAPOLIS,3602 W WASHINGTON ST,Marion IN,46241,D3,$0,$1396,$0,$1977,39.76193935,-86.22186414
HOME CITY ICE,INDIANAPOLIS,5535 MACY DR,Marion IN,46235,D3,$0,$163,$0,$1977,39.85417860,-85.98067558
HOME CITY ICE COMPANY,CINCINNATI,PO BOX 111116,Hamilton OH,45248,D3,$0,$0,$0,$1977,,
HOME DEPOT #2011,INDIANAPOLIS,2225 N POST ROAD,Marion IN,46219,P,$0,$0,$0,$0,39.79881870,-86.00703251
HOME DEPOT #2012,INDIANAPOLIS,4850 E SOUTHPORT ROAD,Marion IN,46237,P,$0,$0,$0,$0,39.66811215,-86.08606224
HOME DEPOT #2034,LAFAYETTE,311 SAGAMORE PKWY N,Tippecanoe IN,47904,D3,$0,$1617,$0,$1617,40.41769265,-86.85785123
HOME DEPOT #2037,CARMEL,9855 N MICHIGAN RD,Hamilton IN,46032,P,$0,$0,$0,$0,39.93142600,-86.22886600
HOME DEPOT 8918,CRAWFORDSVILLE,1710 U.S. 231 SOUTH,Montgomery IN,47933,P,$0,$0,$0,$0,,
HOME PRODUCTS INT'L INC,CHICAGO,4501  WEST 47TH ST,Cook IL,60632,P,$0,$0,$0,$0,41.80627250,-87.73721120
HOME PRODUCTS INT'L INC,SEYMOUR,110 WEST 9th ST,Jackson IN,47274,P,$0,$0,$0,$0,38.96752017,-85.89472350
HOME PRODUCTS INT'L INC,SEYMOUR,201 JACKSON PARK DR,Jackson IN,47274,P,$0,$0,$0,$0,38.96068102,-85.87444399
HOME PRODUCTS INT'L INC,SEYMOUR,400 SOUTH AIRPORT RD,Jackson IN,47274,P,$0,$0,$0,$0,38.94630300,-85.90800800
HOME PRODUCTS INT'L INC,SEYMOUR,885 N CHESTNUT ST,Jackson IN,47274,P,$0,$0,$0,$0,38.96710851,-85.89304595
HOMEWOOD DISPOSAL SERVICE,LAFAYETTE,192 FARABEE DR,Tippecanoe IN,47905,D3,$0,$1077,$0,$1077,40.41545446,-86.85219323
HONDA - EQUIPMENT ENGINEERING,GREENSBURG,2755 MICHIGAN AVE,Decatur IN,47240,A1,$0,$6080,$0,$1515602,39.36873925,-85.54191952
HONDA - FAB SHOP,GREENSBURG,2755 MICHIGAN AVE,Decatur IN,47240,A1,$0,$0,$0,$1515602,39.36873925,-85.54191952
HONDA - PAINT,GREENSBURG,2755 MICHIGAN AVE,Decatur IN,47240,A1,$0,$16102,$1380,$1515602,39.36873925,-85.54191952
HONDA - SPOTTERS,GREENSBURG,2755 MICHIGAN AVE,Decatur IN,47240,A1,$0,$2606331,$0,$2077034,39.36873925,-85.54191952
HONDA - STAMPING,GREENSBURG,2755 MICHIGAN AVE,Decatur IN,47240,A1,$0,$10069,$0,$1515602,39.36873925,-85.54191952
HONDA OF AMERICA,GREENSBURG,1445 N MICHIGAN AVENUE,Decatur IN,47240,A1,$0,$0,$4500,$1515602,39.34888400,-85.50098200
HONDA OF AMERICA,GREENSBURG,1505 WEST MAIN STREET,Decatur IN,47240,A1,$0,$0,$0,$1515602,39.33611590,-85.50796480
HONDA PERFORMANCE DEVELOP,BROWNSBURG,486 SOUTHPOINT CIRCLE,Hendricks IN,46112,P,$0,$0,$0,$0,39.84354300,-86.38187400
HONEY CREEK MACHINE,TERRE HAUTE,1001 WEST SPRINGHILL DRIVE,Vigo IN,47802,P,$0,$0,$0,$0,39.41214400,-87.43339052
HONEYCOMB PRODUCTS,INDIANAPOLIS,405 W RAYMOND ST,Marion IN,46225,D3,$0,$2218,$0,$3893,39.73716897,-86.16752329
HOOSIER FEEDER CO,KNIGHTSTOWN,100 W MORGAN ST,Henry IN,46148,C3,$0,$4804,$0,$11242,39.80149300,-85.52938900
HOOSIER FREIGHT & WHSNG,GREENWOOD,764 N GRAHAM RD,Johnson IN,46143,C2,$0,$0,$0,$69509,39.62509565,-86.06380094
HOOSIER FREIGHT & WHSNG,INDIANAPOLIS,3300 N FRANKLIN RD,Marion IN,46226,C2,$0,$0,$66100,$69509,39.81734300,-86.02692500
HOOSIER FREIGHT & WHSNG,MCCORDSVILLE,5935 ENTERPRISE DRIVE,Hancock IN,46055,C2,$0,$1661,$963,$69509,39.85141400,-85.91314200
HOOSIER PALLET LLC,MILROY,8544 SOUTH S.R.3,Rush IN,46156,P,$0,$0,$0,$0,,
HOOSIER RUBBER & TRANS,INDIANAPOLIS,2002 LAFAYETTE RD,Marion IN,46222,D3,$0,$0,$3371,$3371,39.79345655,-86.20468084
HOOSIER WHOLESALE DISTRIBUTOR,INDIANAPOLIS,4640 LAFAYETTE ROAD,Marion IN,46254,D3,$0,$974,$0,$974,39.83966345,-86.25148271
HOPWOOD CELLARS,ZIONSVILLE,12 E CEDAR STREET,Boone IN,46077,D3,$0,$0,$0,$600,39.95144596,-86.26232030
HOPWOOD CELLARS,ZIONSVILLE,2055 S US 421,Boone IN,46077,D3,$0,$0,$600,$600,,
