Ship to ID,Sold to ID,R12 Segment (Ship to ID),R12 Segment (Sold to ID),R13-24 Segment (Sold to ID),R25 - 36 Segment (Sold to ID),Sales Rep Name,Fleet Size,R12 Wallet Size (Aftermarket),Ship to Name,Sold to Name,Address,City,Zip Code,County State,HYG Preferred Brand,New Equip R36 Revenue,Used Equip R36 Revenue,Parts Revenue R12,Service Revenue R12 (Includes GM),Parts & Service Revenue R12,Rental Revenue R12,Allied Equipment Revenue R12,Revenue Rolling 12 Months - Aftermarket,Revenue Rolling 13 - 24 Months - Aftermarket,Revenue Rolling 25 - 36 Months - Aftermarket,Revevnue Rolling 25 -36 Months - AftermarketR12 Aftermarket Revenue Change,Dealer Branch,Industry Segment,Industry Description
AD0001125,BP0001030,D3,D3,D3,P,1-Territory,,,PRATT VISUAL SOLUTIONS,PRATT VISUAL SOLUTIONS,3035 N SHADELAND AVE,INDIANAPOLIS,46226,Marion IN,,$0,$0,$935,$0,$935,$0,$0,$935,$871,($317),$64,,,
AD0005057,BP0001030,D3,D3,D3,P,1-Territory,,,PRATT VISUAL SOLUTIONS,PRATT VISUAL SOLUTIONS,3035 N SHADELAND AVE,INDIANAPOLIS,46226,Marion IN,,$0,$0,$1735,$0,$1735,$0,$0,$1735,$0,$0,$1735,,,
AD0001181,BP0001086,D3,D3,P,P,1-Territory,,,SMOKING GOOSE,SMOKING GOOSE,407 N DORMAN ST,INDIANAPOLIS,46202,Marion IN,,$0,$0,$0,$0,$0,$535,$0,$535,$0,$0,$535,,,
AD0001196,BP0001101,D3,D3,D2,D2,1-Territory,,,IWIS DRIVE SYSTEMS LLC,IWIS DRIVE SYSTEMS LLC,8266 ZIONSVILLE RD,INDIANAPOLIS,46268,Marion IN,,$0,$0,$0,$257,$257,$0,$0,$257,$3478,$1934,($3221),,,
AD0001254,BP0001159,D3,D3,P,D3,1-Territory,,,TECHNOLOGY RECYCLERS LLC,TECHNOLOGY RECYCLERS LLC,8401 E WASHINGTON,INDIANAPOLIS,46219,Marion IN,,$0,$0,$235,$0,$235,$0,$0,$235,$0,$486,$235,,,
AD0001270,BP0001175,D3,D3,D3,D3,1-Territory,,,PHOENIX MARKETING,PHOENIX MARKETING,8162 ZIONSVILLE RD,INDIANAPOLIS,46268,Marion IN,,$0,$0,$780,$0,$780,$0,$0,$780,$750,$464,$30,,,
AD0001363,BP0001268,D3,D3,P,P,1-Territory,,,DIVERSIFIED ROOFING,DIVERSIFIED ROOFING,2750 BARNES AVE,INDIANAPOLIS,46208,Marion IN,,$0,$0,$0,$2618,$2618,$0,$0,$2618,$0,$0,$2618,,,
AD0000001,BP0001295,A3,D3,D2,D2,2-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.",HARTSON-KENNEDY CABINET TOP CO INC,5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0,$0,$2542,$1477246,$1479788,$0,$0,$1479788,$974889,$633308,$504898,,,
AD0001470,BP0001375,D3,D3,D3,D3,1-Territory,,,UNIT STEP,UNIT STEP,4000 SOUTHEASTERN,INDIANAPOLIS,46203,Marion IN,,$0,$0,$355,$412,$767,$0,$0,$767,$469,$2053,$298,,,
AD0001480,BP0001385,D3,D3,P,P,1-Territory,,,SHERWIN WILLIAMS,SHERWIN WILLIAMS,7324 PENDLETON PIKE,INDIANAPOLIS,46226,Marion IN,,$0,$0,$0,$476,$476,$0,$0,$476,$0,$0,$476,,,
