Account Name,City,Address,County State,Zip Code,Min of Latitude,Min of Longitude
AMERICAN WELDING & GAS,TERRE HAUTE,1317 POPLAR STREET,Vigo IN,47807,,
AMERICAS FLOOR SOURCE,INDIANAPOLIS,7676 ZIONSVILLE RD,Marion IN,46268,39.89080515,-86.26108481
AMERICOLD LOGISTICS,INDIANAPOLIS,3320 S ARLINGTON AVENUE,Marion IN,46203,39.7204933,-86.06740691
"AMG ENGINEERING & MACHINING,INC.",INDIANAPOLIS,4030 GUION LANE,Marion IN,46268,39.87308035,-86.22936735
AMI ACQUISITION LLC,BEDFORD,309 OOLITIC ROAD,Lawrence IN,47421,38.88333483,-86.49997395
AMOS EXTERIORS INC,INDIANAPOLIS,7301 E 46TH STREET,Marion IN,46226,39.83938185,-86.0407519
AMPACET CORPORATION,TERRE HAUTE,3701 N FRUITRIDGE AVE,Vigo IN,47804,39.51107012,-87.36038712
AMPACET RESEARCH CENTER,TERRE HAUTE,3701 N FRUITRIDGE AVENUE,Vigo IN,47804,39.51107012,-87.36038712
AMSTON SUPPLY INC,LEBANON,3083 S INDIANAPOLIS ROAD,Boone IN,46052,39.995183,-86.415421
AMTRAK,BEECH GROVE,202 GARSTANG,Marion IN,46107,39.7196457,-86.07853056
AMTRAK RECEIVING DEPT,INDIANAPOLIS,6220 CHURCHMAN BYPASS,Marion IN,46203,39.71174312,-86.05984921
AMTRAK/MECH. DEPT.,BEECH GROVE,202 WALTER BARRICK WAY,Marion IN,46107,,
ANDERSON MEMORIAL PARK,ANDERSON,6805 ML KING JR BLVD,Madison IN,46013,,
ANDERSON SPRING SERVICE,INDIANAPOLIS,1131 KENTUCKY AVE,Marion IN,46221,39.75252085,-86.17703598
ANDY MOHR CHEVROLET,PLAINFIELD,2712 EAST MAIN ST,Marion IN,46268,39.72142013,-86.34848806
ANDY MOHR FORD,PLAINFIELD,2713 E MAIN ST,Hendricks IN,46168,39.72142465,-86.34847632
ANTHONY PRODUCTS,INDIANAPOLIS,7740 RECORDS ST,Marion IN,46226,39.83644185,-86.03247579
ANTIQUE CANDLE CO,LAFAYETTE,1611 SCHUYLER AVENUE,Tippecanoe IN,47904,40.43940867,-86.8799696
ANTREASIAN DESIGN INC,INDIANAPOLIS,3124 RIDGEVIEW DRIVE,Marion IN,46226,39.81270465,-86.05774227
APEX,LAFAYETTE,4792 E 400 S,Tippecanoe IN,47905,,
APM EQUIPMENT,INDIANAPOLIS,4923 W. 78TH ST.,Marion IN,46268,39.8936319,-86.244779
APOLLOS WATER,BATTLE GROUND,108 W 1250 S,Tippecanoe IN,47920,,
APOLLOS WATER,BATTLE GROUND,108 W 1250S,Tippecanoe IN,47920,,
APPLIED INDUSTRIAL TECHNOLOGIES,TERRE HAUTE,200 POPLAR STREET,Vigo IN,47807,39.462924,-87.444664
APPLIED LABORATORIES,COLUMBUS,3240 N INDIANAPOLIS RD,Bartholomew IN,47202,39.229242,-85.935659
"A-PRIME HANDLING, INC",COLUMBUS,3200 COLUMBUS CENTER,Bartholomew IN,47203,39.22028173,-85.88522088
"A-PRIME HANDLING, INC",INDIANAPOLIS,5208 W WASHINGTON STREET,Marion IN,46241,39.75349049,-86.2484032
AQUA SYSTEMS,GREENWOOD,905 N SR135,Johnson IN,46142,,
AQUATIC RENOVATION SYSTEM,INDIANAPOLIS,2825 E 55th PLACE,Marion IN,46220,39.85373898,-86.1170331
"ARA, RECORDS CENTER",INDIANAPOLIS,6400 E 30TH ST,Marion IN,46219,39.81253025,-86.05654499
ARAMARK FOOD SEVICE,INDIANAPOLIS,8435 GEORGETOWN RD,Marion IN,46224,39.9095826,-86.23998824
ARCA RECYCLING INC,EDINA,7301 OHMS LANE,Hennepin MN,55439,44.87007535,-93.35391286
ARCA RECYCLING INC,INDIANAPOLIS,221 S FRANKLIN RD SUITE 780,Marion IN,46219,39.76985445,-86.02114831
ARCAMED LLC,INDIANAPOLIS,5101 DECATUR BLVD,Marion IN,46241,39.68913225,-86.28508686
ARCHITECTURAL BRICK & TILE,FISHERS,8610 E 106TH ST,Hamilton IN,46037,39.94201917,-86.01569534
ARCONIC INC,CLEVELAND,PO BOX 81282,Cuyahoga OH,44181,,
ARCONIC INC,LAFAYETTE,3131 E MAIN ST,Tippecanoe IN,47905,,
ARCTIC GLACIER ICE,BEDFORD,2404 U STREET,Lawrence IN,47421,38.8526121,-86.49939046
ARCTIC GLACIER LLC,INDIANAPOLIS,4001 W MINNESOTA ST,Marion IN,46241,39.7408839,-86.23170202
AREA DIESEL SERVICES,INDIANAPOLIS,5732 W 71st ST,Marion IN,46268,39.8822832,-86.2615296
ARGOS GROUP,INDIANAPOLIS,2718 RAND RD,Marion IN,46241,39.72252129,-86.25422375
ARIZONA SPORT SHIRTS,CARMEL,100 GASOLINE ALLEY,Hamilton IN,46032,,
ARNOLD MACHINERY,SALT LAKE CITY,2921 W 2100S,Salt Lake UT,84119,,
ARP FLEET SERVICES,LAFAYETTE,3312 IMPERIAL PKWY,Tippecanoe IN,47909,40.38002435,-86.84912731
ARROW CONTAINER CO,INDIANAPOLIS,2900 N SHADELAND,Marion IN,46219,39.808674,-86.04834
ARROW CONTAINER CO,INDIANAPOLIS,5343 COMMERCE SQUARE DR,Marion IN,46237,39.65369872,-86.07740087
ARROW CONTAINER CO,INDIANAPOLIS,6550 E 30TH STREET,Marion IN,46219,39.8111253,-86.05455685
ARROWHEAD PLASTICS,MUNCIE,2909 S HOYT AVE,Delaware IN,47302,40.16802176,-85.4114009
ARTISAN HOMES INC,BROWNSBURG,7445 E CR 400N,Hendricks IN,46112,,
ASAP AQUATICS,INDIANAPOLIS,3310 N SHADELAND AVENUE,Marion IN,46226,39.81683355,-86.0470378
ASHWORTH AND TRAIN,INDIANAPOLIS,5501 N OXFORD ST,Marion IN,46220,39.852774,-86.115745
ASIA MART ASIA GARDEN,INDIANAPOLIS,6103 E 86TH ST,Marion IN,46250,39.91235427,-86.06489815
ASKK INC KLINE FAMILY FARMS,HARTFORD CITY,1532 N 325 W,Blackford IN,47348,40.47341447,-85.4315208
ASPINALL ASSOCIATES,INDIANAPOLIS,6840 HILLSDALE COURT,Marion IN,46250,39.89624909,-86.04706822
ASSET RECYCLING,INDIANAPOLIS,701 N HOLT AVE,Marion IN,46241,39.776891,-86.226235
ASSOCIATED INTEGRATED SUP CHAIN SOL,BROWNSBURG,4857 N RONALD REAGAN PARKWAY,Hendricks IN,46112,39.835315,-86.352076
ASSOCIATED INTEGRATED SUP CHAIN SOL,FORT WAYNE,3106 INDEPENDENCE DRIVE,Allen IN,46808,41.1084818,-85.1825558
ASSOCIATED INTEGRATED SUP CHAIN SOL,INDIANAPOLIS,5905 DECATUR BLVD,Marion IN,46241,39.67725405,-86.29908794
ASSOCIATED MATERIAL HANDLING INDUST,ADDISON,133 NORTH SWIFT ROAD,DuPage IL,60101,41.93055838,-88.042025
ASSOCIATED ROOFING PROF,TERRE HAUTE,8131 BUDD RD,Vigo IN,47805,,
AT&T,INDIANAPOLIS,520 E 106TH ST,Hamilton IN,46280,39.94231275,-86.14988948
ATLAS FOUNDRY COMPANY,MARION,601 NORTH HENDERSON AVE,Grant IN,46952,40.567206,-85.682711
ATLAS INTERNATIONAL LIFT TRUCKS,ELK GROVE VILLAGE,1850 TOUHY AVENUE,Cook IL,60007,42.00790299,-87.95579349
ATOMIC MACHINE,COLUMBUS,3365 COMMERCE DRIVE,Bartholomew IN,47201,39.235246,-85.933062
ATP STEEL & WELDING SUPPL,LEBANON,930 HENDRICKS DR,Boone IN,46052,40.03444928,-86.45585286
ATTERBURY JOB CORPS CENTER,EDINBURGH,3129 EDINBURGH,Johnson IN,46124,,
AUGUSTA EQUIPMENT LEASING,INDIANAPOLIS,1101 HARDING COURT,Marion IN,46217,39.69591735,-86.17993909
AURALEX ACOUSTICS,INDIANAPOLIS,9955 WESTPOINT DR,Marion IN,46256,39.935381,-86.02981
AUTOCAR LLC,BIRMINGHAM,4680 PINSON VALLEY PKWY,Jefferson AL,35215,,
AUTOMATIC POOL COVERS,WESTFIELD,17397 OAK RIDGE RD,Hamilton IN,46074,40.03963043,-86.145911
AUXILIARY OPERATIONS,CRAWFORDSVILLE,510 SHERIDAN AVE,Montgomery IN,47933,40.036469,-86.891289
AUXILIARY OPERATIONS,INDIANAPOLIS,5150 DECATUR BLVD,Marion IN,46241,39.68875545,-86.28884079
AUXILIARY OPERATIONS,PLAINFIELD,923 WHITAKER,Hendricks IN,46168,39.691734,-86.347546
AVERY DENNISON,GREENFIELD,870 W. ANDERSON BLVD.,Hancock IN,46140,39.818624,-85.782289
AVI FOOD SYSTEMS,GREENBURG,4896 W OLD STATE ROAD 46,Decatur IN,47240,,
AVI FOOD SYSTEMS,INDIANAPOLIS,9214 E 33RD ST,Marion IN,46235,,
AVID PALLET SERVICES LLC,BELOIT,1401 EDDY AVE,Rock WI,53511,42.527784,-89.019485
AVID PALLET SERVICES LLC,INDIANAPOLIS,2800 ENTERPRISE DR,Marion IN,46219,,
AVON COMMUNITY SCHOOL CO,AVON,469 SOUTH AVON AVE,Hendricks IN,46123,39.756614,-86.391128
AVON HIGH SCHOOL,AVON,7575 EAST 150 SOUTH,Hendricks IN,46123,39.738796,-86.387698
AVON MAINTENANCE DEPT.,AVON,469 AVON AVE,Hendricks IN,46168,39.759149,-86.39852161
AWH TRANSPORTS LLC,BROOKSTON,2338  E 1100S,White IN,47923,,
AXSOM FLOOR COVERINGS,BEDFORD,933 LINCOLN AVE,Lawrence IN,47421,38.86877002,-86.48831849
AZENTA LIFE SCIENCES,INDIANAPOLIS,2910 FORTUNE CIRCLE W,Marion IN,46241,39.72154995,-86.26221871
